Time,Choke_Position,Oil_Rate,Wellhead_Pressure,Flowline_Pressure,Bottom_Hole_Pressure
2026-01-01 00:00:00,50.25,625.0,753.39,214.5,2105.8
2026-01-01 00:15:00,50.18,627.56,758.65,212.99,2093.05
2026-01-01 00:30:00,50.5,626.33,740.49,210.78,2087.79
2026-01-01 00:45:00,51.26,637.96,746.49,209.58,2089.85
2026-01-01 01:00:00,51.15,627.79,741.01,213.47,2089.12
2026-01-01 01:15:00,51.03,637.27,742.41,212.42,2087.22
2026-01-01 01:30:00,51.82,644.31,737.94,214.87,2092.4
2026-01-01 01:45:00,52.2,644.2,734.66,214.55,2091.92
2026-01-01 02:00:00,51.97,649.44,740.4,215.51,2085.13
2026-01-01 02:15:00,52.24,653.72,734.64,211.08,2096.85
2026-01-01 02:30:00,52.01,638.55,741.31,216.36,2072.51
2026-01-01 02:45:00,51.78,640.51,740.87,212.72,2083.86
2026-01-01 03:00:00,51.9,641.09,739.32,218.5,2077.66
2026-01-01 03:15:00,50.94,630.67,740.76,209.06,2073.81
2026-01-01 03:30:00,50.08,629.87,746.73,215.3,2098.55
2026-01-01 03:45:00,49.8,622.92,754.79,210.35,2100.41
2026-01-01 04:00:00,49.29,617.36,756.05,207.19,2120.81
2026-01-01 04:15:00,49.45,609.53,747.88,207.88,2110.73
2026-01-01 04:30:00,48.99,618.43,755.53,207.83,2097.81
2026-01-01 04:45:00,48.29,601.72,762.32,209.22,2132.24
2026-01-01 05:00:00,49.02,614.7,746.55,210.39,2120.05
2026-01-01 05:15:00,48.91,616.03,758.18,206.97,2114.57
2026-01-01 05:30:00,48.94,621.03,751.98,208.66,2106.21
2026-01-01 05:45:00,48.23,600.14,761.71,214.3,2104.58
2026-01-01 06:00:00,47.96,588.18,756.4,212.73,2112.63
2026-01-01 06:15:00,48.01,604.64,750.92,208.92,2126.79
2026-01-01 06:30:00,47.44,606.86,754.68,207.04,2139.36
2026-01-01 06:45:00,47.62,606.85,762.12,207.51,2134.44
2026-01-01 07:00:00,47.32,598.49,764.68,208.63,2116.52
2026-01-01 07:15:00,47.18,593.36,759.59,203.54,2111.38
